   ________________________________________________________________________________

                               Parametric study: press2
   ________________________________________________________________________________

              C10,            D1,             h,         VDISP,         FORCE,
      1.66667e+06,       7.5e-07,     0.0004427,     0.0004427,       425.446,
      1.83333e+06,       7.5e-07,     0.0004427,     0.0004427,       457.843,
            2e+06,       7.5e-07,     0.0004427,     0.0004427,       489.317,
      2.16667e+06,       7.5e-07,     0.0004427,     0.0004427,       518.824,
      2.33333e+06,       7.5e-07,     0.0004427,     0.0004427,       547.437,
          2.5e+06,       7.5e-07,     0.0004427,     0.0004427,       575.289,
          1.5e+06,         1e-06,     0.0004427,     0.0004427,       366.987,
      1.66667e+06,         1e-06,     0.0004427,     0.0004427,       396.333,
      1.83333e+06,         1e-06,     0.0004427,     0.0004427,       424.568,
            2e+06,         1e-06,     0.0004427,     0.0004427,       451.204,
      2.16667e+06,         1e-06,     0.0004427,     0.0004427,        476.33,
      2.33333e+06,         1e-06,     0.0004427,     0.0004427,       500.499,
          2.5e+06,         1e-06,     0.0004427,     0.0004427,       523.812,
          1.5e+06,      1.25e-06,     0.0004427,     0.0004427,       345.173,
      1.66667e+06,      1.25e-06,     0.0004427,     0.0004427,       371.112,
      1.83333e+06,      1.25e-06,     0.0004427,     0.0004427,       395.633,
            2e+06,      1.25e-06,     0.0004427,     0.0004427,        419.05,
      2.16667e+06,      1.25e-06,     0.0004427,     0.0004427,       441.491,
      2.33333e+06,      1.25e-06,     0.0004427,     0.0004427,       463.061,
          2.5e+06,      1.25e-06,     0.0004427,     0.0004427,       483.008,
          1.5e+06,       1.5e-06,     0.0004427,     0.0004427,       325.686,
      1.66667e+06,       1.5e-06,     0.0004427,     0.0004427,       349.208,
      1.83333e+06,       1.5e-06,     0.0004427,     0.0004427,       371.558,
            2e+06,       1.5e-06,     0.0004427,     0.0004427,        392.87,
      2.16667e+06,       1.5e-06,     0.0004427,     0.0004427,       411.902,
      2.33333e+06,       1.5e-06,     0.0004427,     0.0004427,       430.025,
          2.5e+06,       1.5e-06,     0.0004427,     0.0004427,       447.409,
          1.5e+06,         5e-07,     0.0004443,     0.0004443,       426.395,
      1.66667e+06,         5e-07,     0.0004443,     0.0004443,       464.536,
      1.83333e+06,         5e-07,     0.0004443,     0.0004443,       501.721,
            2e+06,         5e-07,     0.0004443,     0.0004443,       537.953,
      2.16667e+06,         5e-07,     0.0004443,     0.0004443,       572.626,
      2.33333e+06,         5e-07,     0.0004443,     0.0004443,       606.691,
          2.5e+06,         5e-07,     0.0004443,     0.0004443,       640.034,
          1.5e+06,       7.5e-07,     0.0004443,     0.0004443,        393.17,
      1.66667e+06,       7.5e-07,     0.0004443,     0.0004443,       426.689,
      1.83333e+06,       7.5e-07,     0.0004443,     0.0004443,       459.178,
            2e+06,       7.5e-07,     0.0004443,     0.0004443,       490.695,
      2.16667e+06,       7.5e-07,     0.0004443,     0.0004443,       520.303,
      2.33333e+06,       7.5e-07,     0.0004443,     0.0004443,       549.009,
          2.5e+06,       7.5e-07,     0.0004443,     0.0004443,       576.941,
          1.5e+06,         1e-06,     0.0004443,     0.0004443,       368.021,
      1.66667e+06,         1e-06,     0.0004443,     0.0004443,       397.473,
      1.83333e+06,         1e-06,     0.0004443,     0.0004443,       425.789,
            2e+06,         1e-06,     0.0004443,     0.0004443,       452.516,
      2.16667e+06,         1e-06,     0.0004443,     0.0004443,       477.717,
      2.33333e+06,         1e-06,     0.0004443,     0.0004443,       501.963,
          2.5e+06,         1e-06,     0.0004443,     0.0004443,       525.349,
          1.5e+06,      1.25e-06,     0.0004443,     0.0004443,       346.165,
      1.66667e+06,      1.25e-06,     0.0004443,     0.0004443,       372.192,
      1.83333e+06,      1.25e-06,     0.0004443,     0.0004443,        396.79,
            2e+06,      1.25e-06,     0.0004443,     0.0004443,       420.279,
      2.16667e+06,      1.25e-06,     0.0004443,     0.0004443,        442.79,
      2.33333e+06,      1.25e-06,     0.0004443,     0.0004443,       464.432,
          2.5e+06,      1.25e-06,     0.0004443,     0.0004443,       484.482,
          1.5e+06,       1.5e-06,     0.0004443,     0.0004443,       326.638,
      1.66667e+06,       1.5e-06,     0.0004443,     0.0004443,       350.232,
      1.83333e+06,       1.5e-06,     0.0004443,     0.0004443,       372.654,
            2e+06,       1.5e-06,     0.0004443,     0.0004443,       394.054,
      2.16667e+06,       1.5e-06,     0.0004443,     0.0004443,       413.163,
      2.33333e+06,       1.5e-06,     0.0004443,     0.0004443,       431.406,
          2.5e+06,       1.5e-06,     0.0004443,     0.0004443,       448.809,
          1.5e+06,         5e-07,     0.0004743,     0.0004743,        450.07,
      1.66667e+06,         5e-07,     0.0004743,     0.0004743,        490.19,
